serum,serum_group,depleted,ligand,date,100,300,900,2700,8100
Delta_7,Delta infection,mock depleted,Delta RBD,211206,3.942500001,3.798200017,3.595500117,2.979800111,2.127699977
Delta_8,Delta infection,1x depleted,Delta RBD,211206,3.081899909,2.349999933,1.484100012,0.776399998,0.290800003
Delta_8,Delta infection,2x depleted,Delta RBD,211206,2.203949939,1.417850029,0.757349979,0.320350002,0.105149996
Delta_8,Delta infection,3x depleted,Delta RBD,211206,1.863149989,1.025349963,0.405149985,0.131750006,0.031550001
Delta_8,Delta infection,mock depleted,Delta RBD,211206,3.865049981,3.688850068,3.18695011,2.281350039,1.273849986
Delta_10,Delta infection,1x depleted,Delta RBD,211206,3.394399986,2.717599973,1.926699981,1.023499951,0.412599996
Delta_10,Delta infection,2x depleted,Delta RBD,211206,1.762500001,0.7413,0.388600005,0.104499994,0.038799999
Delta_10,Delta infection,3x depleted,Delta RBD,211206,0.939599974,0.4209,0.1665,0.052299997,0.025399996
Delta_10,Delta infection,mock depleted,Delta RBD,211206,3.798699981,3.719499951,3.651100045,3.034000045,2.230800038
Delta_11,Delta infection,1x depleted,Delta RBD,211206,1.4438,0.679100005,0.250499992,0.081899999,0.041300004
Delta_11,Delta infection,2x depleted,Delta RBD,211206,0.514350008,0.215249997,0.088750001,0.028450001,0.018850002
Delta_11,Delta infection,3x depleted,Delta RBD,211206,0.290350009,0.124550004,0.03105,0.000850003,-0.000850003
Delta_11,Delta infection,mock depleted,Delta RBD,211206,3.691249989,3.51404991,3.125950001,1.966450118,0.982049964
