serum,serum_group,depleted,ligand,date,100,300,900,2700,8100
Delta_1,Delta infection,1x depleted,Delta spike,211206,3.671750039,3.537650079,3.05004999,2.7348499,1.725049943
Delta_1,Delta infection,2x depleted,Delta spike,211206,3.497749995,3.297749948,2.814249944,2.160350036,1.138249945
Delta_1,Delta infection,3x depleted,Delta spike,211206,3.151650056,3.231550083,2.831950054,2.402350053,1.362149939
Delta_1,Delta infection,mock depleted,Delta spike,211206,3.263850037,2.966950003,2.750350062,2.473049942,1.871249977
Delta_3,Delta infection,1x depleted,Delta spike,211206,3.067700014,2.655599937,1.965700015,1.435500011,0.601599976
Delta_3,Delta infection,2x depleted,Delta spike,211206,3.233499914,2.886299998,1.907799989,1.20630005,0.497899979
Delta_3,Delta infection,3x depleted,Delta spike,211206,3.002799924,2.92099994,1.955500063,1.17160004,0.496500012
Delta_3,Delta infection,mock depleted,Delta spike,211206,3.438249897,3.35865004,2.784950089,2.107349943,1.044050049
Delta_4,Delta infection,1x depleted,Delta spike,211206,3.299849957,3.178149909,2.512949914,1.829549998,1.003450006
Delta_4,Delta infection,2x depleted,Delta spike,211206,3.159049939,2.865450095,2.324249934,1.696250033,0.817150008
Delta_4,Delta infection,3x depleted,Delta spike,211206,3.155350074,2.888049945,2.248950109,1.548349962,0.783650026
Delta_4,Delta infection,mock depleted,Delta spike,211206,3.109949891,3.168150011,2.678150002,2.228750054,1.327949945
Delta_6,Delta infection,1x depleted,Delta spike,211206,3.446899995,2.958500013,2.594400033,2.10480009,1.147999987
Delta_6,Delta infection,2x depleted,Delta spike,211206,3.344400078,3.013100058,2.802400023,2.067700058,1.263000041
Delta_6,Delta infection,3x depleted,Delta spike,211206,3.280699905,2.944600042,2.789800104,1.902300056,1.07300001
Delta_6,Delta infection,mock depleted,Delta spike,211206,3.440049957,3.360549998,3.140950035,2.639449906,1.732950043
Delta_7,Delta infection,1x depleted,Delta spike,211206,3.556650108,3.755249923,3.033849901,2.372849887,1.55144996
Delta_7,Delta infection,2x depleted,Delta spike,211206,3.621100096,3.204300074,2.829300074,2.05849996,1.120199947
Delta_7,Delta infection,3x depleted,Delta spike,211206,3.795599988,3.372000029,2.806999972,2.163100054,1.225500038
Delta_7,Delta infection,mock depleted,Delta spike,211206,3.405600116,3.642099902,3.312799975,2.709300086,2.115299985
Delta_8,Delta infection,1x depleted,Delta spike,211206,3.358550003,3.186550071,2.663750103,1.737150004,0.938550046
Delta_8,Delta infection,2x depleted,Delta spike,211206,3.371500093,3.132999975,2.444799978,1.703100044,0.791300017
Delta_8,Delta infection,3x depleted,Delta spike,211206,3.657949913,3.277849901,2.596250046,1.638849963,0.807749975
Delta_8,Delta infection,mock depleted,Delta spike,211206,3.764499947,3.555899903,2.985300109,2.253000066,1.4164
Delta_10,Delta infection,1x depleted,Delta spike,211206,3.346850103,3.489350026,3.03264994,2.869349902,1.651150053
Delta_10,Delta infection,2x depleted,Delta spike,211206,3.297799973,3.298999934,2.827999977,2.1737999,1.394099979
Delta_10,Delta infection,3x depleted,Delta spike,211206,3.674700072,3.236599972,2.731499961,2.231099894,1.323200038
Delta_10,Delta infection,mock depleted,Delta spike,211206,3.375000045,3.645000026,3.283500001,2.835300013,2.33600001
Delta_11,Delta infection,1x depleted,Delta spike,211206,3.549149921,3.12624996,2.732649973,1.934149912,1.031449964
Delta_11,Delta infection,2x depleted,Delta spike,211206,3.372999985,3.102300007,2.865399916,1.969699938,1.022000033
Delta_11,Delta infection,3x depleted,Delta spike,211206,3.717449892,3.259649981,2.520649899,1.90044998,0.955149997
Delta_11,Delta infection,mock depleted,Delta spike,211206,3.619900033,3.463100001,3.185699984,2.574399993,1.594000027
Delta_1,Delta infection,1x depleted,Delta RBD,211206,3.241149999,2.709349968,2.07455001,1.285250045,0.577649988
Delta_1,Delta infection,2x depleted,Delta RBD,211206,2.22034993,1.458449982,0.716250025,0.278650008,0.105249994
Delta_1,Delta infection,3x depleted,Delta RBD,211206,1.382699972,0.733600026,0.288899994,0.103900006,0.038000001
Delta_1,Delta infection,mock depleted,Delta RBD,211206,3.888499906,3.591600111,3.495099952,2.754599979,1.769799998
Delta_3,Delta infection,1x depleted,Delta RBD,211206,2.441849969,1.529850028,0.692150019,0.284750007,0.087250002
Delta_3,Delta infection,2x depleted,Delta RBD,211206,0.794149989,0.340649987,0.135949994,0.042049998,0.005849997
Delta_3,Delta infection,3x depleted,Delta RBD,211206,0.47575001,0.195550006,0.058450002,0.021149997,-0.004450001
Delta_3,Delta infection,mock depleted,Delta RBD,211206,3.571300097,3.359799929,2.666899987,1.767100044,0.955499955
Delta_4,Delta infection,1x depleted,Delta RBD,211206,1.563150026,0.701149978,0.305650003,0.116949998,0.053949997
Delta_4,Delta infection,2x depleted,Delta RBD,211206,0.47275003,0.182450004,0.078949995,0.021750003,0.011650003
Delta_4,Delta infection,3x depleted,Delta RBD,211206,0.238300001,0.093900001,0.033299996,0.009099999,0.008199999
Delta_4,Delta infection,mock depleted,Delta RBD,211206,3.650299957,3.415300062,2.778500011,1.839899948,0.941099992
Delta_6,Delta infection,1x depleted,Delta RBD,211206,3.139050029,2.289350055,1.340150021,0.617350005,0.219050013
Delta_6,Delta infection,2x depleted,Delta RBD,211206,2.21524995,1.230250055,0.533049995,0.179049993,0.066649998
Delta_6,Delta infection,3x depleted,Delta RBD,211206,1.355349939,0.57165001,0.217850011,0.049449999,0.02265
Delta_6,Delta infection,mock depleted,Delta RBD,211206,3.697500058,3.632299967,3.330200024,2.262600012,1.291400023
Delta_7,Delta infection,1x depleted,Delta RBD,211206,3.392000064,2.954500064,2.387199983,1.628300056,0.674199983
Delta_7,Delta infection,2x depleted,Delta RBD,211206,2.184800101,1.679599954,0.695700003,0.279400004,0.0996
Delta_7,Delta infection,3x depleted,Delta RBD,211206,1.252899988,0.609999998,0.253999991,0.100999994,0.039000003
